id	antibody	specie	treatment	control_id	cell_id	experiment_type	tf_uniprot_id	algn_id	peaks_id	geo_gsm	geo_gse	encode
EXP000772	NF?B p65 (C-20) rabbit polyclonal antibody	Homo sapiens	Treatment: TNF-alpha induced (6h)	EXP000773	356	unspecified	Q04206	ALIGNS033065	PEAKS033071	GSE19485	GSM486316;GSM486319;GSM486317;GSM486318	NULL
EXP000770	NF?B p65 (C-20) rabbit polyclonal antibody	Homo sapiens	Treatment: TNF-alpha induced (6h)	EXP000771	363	unspecified	Q04206	ALIGNS033067	PEAKS033072	GSE19485	GSM486311;GSM486312;GSM486313	NULL
EXP000774	NF?B p65 (C-20) rabbit polyclonal antibody	Homo sapiens	Treatment: TNF-alpha induced (6h)	EXP000775	357	unspecified	Q04206	ALIGNS033069	PEAKS033073	GSE19485	GSM486324;GSM486323;GSM486322	NULL
EXP000509	p73 beta isoform	Homo sapiens	NULL	EXP000507	783	unspecified	O15350	ALIGNS033072	PEAKS033074	GSE15780	GSM501690;GSM501689	NULL
EXP000508	p73 alpha isoform	Homo sapiens	NULL	EXP000507	783	unspecified	O15350	ALIGNS033073	PEAKS033075	GSE15780	GSM501687;GSM501688	NULL
EXP000505	STAT1	Homo sapiens	Treatment: IFNgamma	NULL	423	unspecified	P42224	ALIGNS033074	PEAKS033076	GSE15353	GSM385504;GSM385505;GSM385503;GSM385508;GSM385506;GSM385507	NULL
EXP000506	STAT1	Homo sapiens		NULL	423	unspecified	P42224	ALIGNS033075	PEAKS033077	GSE15353	GSM385513;GSM385514;GSM385515;GSM385509;GSM385510;GSM385511;GSM385512	NULL
EXP000057	ERa(HC20 Santa Cruz)	Homo sapiens	NULL	NULL	2301	unspecified	P03372	ALIGNS037900	PEAKS036838	GSE22609	GSM560853	NULL
EXP000058	ERa(HC20 Santa Cruz)	Homo sapiens	NULL	NULL	2301	unspecified	P03372	ALIGNS037901	PEAKS036839	GSE22609	GSM560854	NULL
EXP000204	ER beta	Homo sapiens	NULL	EXP000206	848	unspecified	Q92731	ALIGNS034250	PEAKS033078	GSE21770	GSM542547	NULL
EXP000205	ER beta	Homo sapiens	Treatment: E2	EXP000207	848	unspecified	Q92731	ALIGNS034251	PEAKS033079	GSE21770	GSM542548	NULL
EXP000202	E2F4	Homo sapiens	NULL	EXP000203	335	unspecified	Q16254	ALIGNS034252	PEAKS033080	GSE21488	GSM537063	NULL
EXP000949	TCF7L2	Homo sapiens	Treatment: bio	EXP000960	65	unspecified	Q9NQB0	ALIGNS034253	PEAKS033081	GSE29195	GSM722426	NULL
EXP000200	ap2	Homo sapiens	NULL	EXP000201	113	unspecified	Q92754	ALIGNS034254	PEAKS033082	GSE21234	GSM530915	NULL
EXP000233	sc-858	Homo sapiens	NULL	EXP000234	512	unspecified	P41182	ALIGNS034255	PEAKS033083	GSE26085	GSM640427	NULL
EXP000232	sc-8005	Homo sapiens	Treatment: E2	NULL	113	unspecified	P03372	ALIGNS034256	PEAKS033084	GSE26083	GSM640422	NULL
EXP000231	sc-8005	Homo sapiens		NULL	113	unspecified	P03372	ALIGNS034257	PEAKS033085	GSE26083	GSM640421	NULL
EXP000944	SMAD1	Homo sapiens	Treatment: dorso	EXP000959	514	unspecified	Q15797	ALIGNS034259	PEAKS033086	GSE29195	GSM722417	NULL
EXP000345	sc-1008	Homo sapiens	Treatment: calcitriol	EXP000342	340	unspecified	P11473	ALIGNS033077	PEAKS033087	GSE22484	GSM558632;GSM558633	NULL
EXP000602	HNF4	Homo sapiens	NULL	NULL	430	unspecified	P41235	ALIGNS037919	PEAKS036840	GSE25694	GSM630948;GSM630947	NULL
EXP000603	GABP	Homo sapiens	NULL	NULL	430	unspecified	Q06546	ALIGNS037920	PEAKS036841	GSE25694	GSM630951;GSM630950;GSM630952	NULL
EXP000600	07-079	Homo sapiens	NULL	NULL	673	unspecified	P49711	ALIGNS033078	PEAKS033088	GSE25416	GSM624081	NULL
EXP000601	FOXA2	Homo sapiens	NULL	NULL	430	unspecified	Q9Y261	ALIGNS037918	PEAKS036842	GSE25694	GSM630944;GSM630943;GSM630942;GSM630946;GSM630945;GSM630949	NULL
EXP000609	IMG-124A	Homo sapiens	NULL	NULL	93	unspecified	P62380	ALIGNS034261	PEAKS033089	GSE26005	GSM638202	NULL
EXP000650	sc-816	Homo sapiens	Treatment: ethanol	EXP030990	70	unspecified	P10275	ALIGNS033079	PEAKS033090	GSE28264	GSM699630	NULL
EXP000620	cFos - Cat# sc-7202, Santa Cruz	Homo sapiens	NULL	NULL	113	unspecified	P01100	ALIGNS033080	PEAKS033091	GSE26831	GSM659790	NULL
EXP000939	GATA1	Homo sapiens	Treatment: bio	EXP000959	514	unspecified	P15976	ALIGNS034262	PEAKS033092	GSE29195	GSM722412	NULL
EXP000288	ERalpha	Homo sapiens	Treatment: E2	NULL	113	unspecified	P03372	ALIGNS034263	PEAKS033093	GSE14664	GSM365926	NULL
EXP000289	ERalpha	Homo sapiens	Treatment: Tamoxifen	NULL	113	unspecified	P03372	ALIGNS034264	PEAKS033094	GSE14664	GSM365927	NULL
EXP000287	ERalpha	Homo sapiens	NULL	NULL	113	unspecified	P03372	ALIGNS034265	PEAKS033095	GSE14664	GSM365925	NULL
EXP000280	Runx2 Flag tagged	Homo sapiens	NULL	EXP000281	129	unspecified	Q13950	ALIGNS034266	PEAKS033096	GSE33889	GSM838400	NULL
EXP000624	FOXA1 - Cat# AB4124, Chemicon	Homo sapiens	NULL	NULL	111	unspecified	P55317	ALIGNS034268	PEAKS033097	GSE26831	GSM659796	NULL
EXP000518	stat6	Homo sapiens	Treatment: Act+IL-4 for 4hr	NULL	881	unspecified	P42226	ALIGNS034269	PEAKS033098	GSE17850	GSM445807	NULL
EXP000519	tcf4	Homo sapiens	NULL	EXP000522	188	unspecified	Q9NQB0	ALIGNS034270	PEAKS033099	GSE18481	GSM460124	NULL
EXP000309	Jun	Homo sapiens	NULL	NULL	514	unspecified	P05412	ALIGNS033082	PEAKS033100	GSE19545	GSM487425	NULL
EXP000308	HNF4g	Homo sapiens	NULL	NULL	430	unspecified	Q14541	ALIGNS034271	PEAKS033101	GSE18989	GSM469865	NULL
EXP000307	HNF4a AB domain	Homo sapiens	NULL	NULL	430	unspecified	P41235	ALIGNS034272	PEAKS033102	GSE18989	GSM469864	NULL
EXP000306	HNF4a F domain	Homo sapiens	NULL	NULL	430	unspecified	P41235	ALIGNS034273	PEAKS033103	GSE18989	GSM469863	NULL
EXP000300	RUNX monoclonal from Nancy Speck	Homo sapiens	NULL	EXP000302	510	unspecified	Q01196	ALIGNS033084	PEAKS033104	GSE17954	GSM449526	NULL
EXP000736	anti-ERG	Homo sapiens	Treatment: none; Genotype: ERG overexpression	NULL	781	normal	P11308	ALIGNS033085	PEAKS033105	GSE14092	GSM353649	NULL
EXP000737	anti-ERG	Homo sapiens	Treatment: none; Genotype: GUS control	NULL	781	normal	P11308	ALIGNS033086	PEAKS033106	GSE14092	GSM353650	NULL
EXP000734	anti-ERG	Homo sapiens	Treatment: regular medium; Conditions: cells were hormone starved for 48 hours	NULL	71	normal	P11308	ALIGNS033087	PEAKS033107	GSE14092	GSM353647	NULL
EXP000735	anti-ERG	Homo sapiens	Treatment: regular medium; Conditions: cells were hormone starved for 48 hours	NULL	70	normal	P11308	ALIGNS033088	PEAKS033108	GSE14092	GSM353648	NULL
EXP000732	anti-AR	Homo sapiens	Treatment: cells were hormone starved for 48 hours, ethanol; Compound: Ethanol	NULL	71	normal	P10275	ALIGNS033089	PEAKS033109	GSE14092	GSM353645	NULL
EXP000733	anti-AR	Homo sapiens	Treatment: cells were hormone starved for 48 hours, R1881; Compound: R1881	NULL	71	normal	P10275	ALIGNS033090	PEAKS033110	GSE14092	GSM353646	NULL
EXP000730	anti-AR	Homo sapiens	Treatment: cells were hormone starved for 48 hours, ethanol; Compound: Ethanol	NULL	70	normal	P10275	ALIGNS033091	PEAKS033111	GSE14092	GSM353643	NULL
EXP000731	anti-AR	Homo sapiens	Treatment: cells were hormone starved for 48 hours, R1881; Compound: R1881	NULL	70	normal	P10275	ALIGNS033092	PEAKS033112	GSE14092	GSM353644	NULL
EXP000738	anti-AR	Homo sapiens	Treatment: none	NULL	604	normal	P10275	ALIGNS033093	PEAKS033113	GSE14092	GSM353651	NULL
EXP000739	anti-ERG	Homo sapiens	Treatment: none	NULL	604	normal	P11308	ALIGNS033094	PEAKS033114	GSE14092	GSM353652	NULL
EXP000673	gata2	Homo sapiens	NULL	EXP000671	472	unspecified	P23769	ALIGNS033095	PEAKS033115	GSE29531	GSM730702;GSM730701	NULL
EXP000672	cfos	Homo sapiens	NULL	EXP000671	472	unspecified	P01100	ALIGNS033096	PEAKS033116	GSE29531	GSM730704;GSM730703	NULL
EXP000517	stat6	Homo sapiens	Treatment: Act for 4hr	NULL	881	unspecified	P42226	ALIGNS034275	PEAKS033117	GSE17850	GSM445806	NULL
EXP000670	GATA3	Homo sapiens		NULL	113	unspecified	P23771	ALIGNS033098	PEAKS033118	GSE29073	GSM720423	NULL
EXP001014	ER-alpha	Homo sapiens	Treatment: E2	NULL	386	unspecified	P03372	ALIGNS033099	PEAKS033119	GSE32332	GSM811210;GSM811211	NULL
EXP001015	ER-alpha	Homo sapiens	Treatment: E2	NULL	386	unspecified	P03372	ALIGNS033100	PEAKS033120	GSE32332	GSM811212;GSM811213	NULL
EXP001016	ER-alpha	Homo sapiens	Treatment: E2	NULL	386	unspecified	P03372	ALIGNS033101	PEAKS033121	GSE32332	GSM811214;GSM811215	NULL
EXP001013	ER-alpha	Homo sapiens	Treatment: E2	NULL	386	unspecified	P03372	ALIGNS033102	PEAKS033122	GSE32332	GSM811209;GSM811208	NULL
EXP000423	Rabbit anti RBPJ	Homo sapiens	NULL	EXP000424	474	unspecified	Q06330	ALIGNS033104	PEAKS033123	GSE29498	GSM729853;GSM729854	NULL
EXP000674	ZNF143	Homo sapiens	NULL	EXP000675	199	unspecified	P52747	ALIGNS034280	PEAKS033124	GSE29600	GSM732907	NULL
EXP000295	MYC	Homo sapiens	NULL	NULL	376	unspecified	P01106	ALIGNS034281	PEAKS033125	GSE17917	GSM447585	NULL
EXP000294	KLF4	Homo sapiens	NULL	NULL	376	unspecified	O43474	ALIGNS034282	PEAKS033126	GSE17917	GSM447584	NULL
EXP000177	Estrogen Receptor (ER)	Homo sapiens	Treatment: hormone starved for 3 days, treated with 1% ethanol for 45 minutes	NULL	113	unspecified	P03372	ALIGNS034283	PEAKS033127	GSE19013	GSM470418	NULL
EXP000297	OCT4	Homo sapiens	NULL	NULL	376	unspecified	Q01860	ALIGNS033107	PEAKS033128	GSE17917	GSM447583;GSM447582	NULL
EXP000884	sc-543	Homo sapiens	Treatment: ETOH (ethanol)	EXP000892	111	unspecified	P03372	ALIGNS033108	PEAKS033129	GSE23893	GSM589239	NULL
EXP000885	sc-543	Homo sapiens	Treatment: E2	EXP000890	504	unspecified	P03372	ALIGNS033109	PEAKS033130	GSE23893	GSM589240	NULL
EXP000886	sc-543	Homo sapiens	Treatment: E2	EXP000890	504	unspecified	P03372	ALIGNS033110	PEAKS033131	GSE23893	GSM589241	NULL
EXP000887	ER?	Homo sapiens	Treatment: ETOH (ethanol)	EXP000891	239	unspecified	P03372	ALIGNS033111	PEAKS033132	GSE23893	GSM589242	NULL
EXP000881	sc-543	Homo sapiens	Treatment: ETOH (ethanol)	EXP000889	113	unspecified	P03372	ALIGNS033112	PEAKS033133	GSE23893	GSM589236	NULL
EXP000882	sc-543	Homo sapiens	Treatment: E2	EXP000889	113	unspecified	P03372	ALIGNS033113	PEAKS033134	GSE23893	GSM589237	NULL
EXP000883	sc-543	Homo sapiens	Treatment: ETOH (ethanol)	EXP000892	111	unspecified	P03372	ALIGNS033114	PEAKS033135	GSE23893	GSM589238	NULL
EXP000888	sc-543	Homo sapiens	Treatment: E2	EXP000891	239	unspecified	P03372	ALIGNS033115	PEAKS033136	GSE23893	GSM589243	NULL
EXP000290	ERalpha	Homo sapiens	Treatment: Fulvestrant	NULL	113	unspecified	P03372	ALIGNS034284	PEAKS033137	GSE14664	GSM365928	NULL
EXP000293	4A4 against p63	Homo sapiens	NULL	NULL	215	unspecified	Q9H3D4	ALIGNS033117	PEAKS033138	GSE17611	GSM439776;GSM439777	NULL
EXP000292	H129 against p63	Homo sapiens	NULL	NULL	215	unspecified	Q9H3D4	ALIGNS034285	PEAKS033139	GSE17611	GSM538930	NULL
EXP000074	anti p65	Homo sapiens	Treatment: TA+TNFα	NULL	78	unspecified	Q04206	ALIGNS034286	PEAKS033140	GSE24518	GSM604659	NULL
EXP000869	ATRX H300 (Santa Cruz Biotechnology, batch G0105)	Homo sapiens	NULL	EXP000870	460	unspecified	P46100	ALIGNS034287	PEAKS033141	GSE22162	GSM551136	NULL
EXP000426	ETV4(Aviva Systems Biology, cat# ARP32263, lot# QC1723)	Homo sapiens	NULL	EXP000425	725	unspecified	P43268	ALIGNS034289	PEAKS033142	GSE29808	GSM738817	NULL
EXP000427	JUND(Santa Cruz Biotechnology, cat# sc-74, lot# C0310)	Homo sapiens	NULL	NULL	725	unspecified	P17535	ALIGNS034290	PEAKS033143	GSE29808	GSM738818	NULL
EXP000080	rabbit anti-YY1 polyclonal	Homo sapiens	NULL	EXP000081	881	unspecified	P25490	ALIGNS033118	PEAKS033144	GSE25674	GSM630810	NULL
EXP000178	Estrogen Receptor (ER)	Homo sapiens	Treatment: hormone starved for 3 days, treated with 10 nM β-estradiol for 45 minutes	NULL	113	unspecified	P03372	ALIGNS034291	PEAKS033145	GSE19013	GSM470419	NULL
EXP000159	nrsf	Homo sapiens	NULL	EXP000160	509	unspecified	Q13127	ALIGNS037902	PEAKS036846	GSE13047	GSM327023	NULL
EXP000778	CTCF	Homo sapiens	NULL	NULL	566	unspecified	P49711	ALIGNS033122	PEAKS033146	GSE19622	GSM489295;GSM489296	NULL
EXP000344	sc-1008	Homo sapiens		EXP000342	340	unspecified	P11473	ALIGNS033123	PEAKS033147	GSE22484	GSM558630;GSM558631	NULL
EXP000262	anti-SMAD1/5	Homo sapiens	Treatment: 50 ng/ml BMP-4	NULL	470	unspecified	Q99717	ALIGNS034294	PEAKS033148	GSE28848	GSM714358	NULL
EXP000264	ERalpha	Homo sapiens	NULL	EXP000265	848	unspecified	P03372	ALIGNS037909	PEAKS036847	GSE28918	GSM717114	NULL
EXP000776	CTCF	Homo sapiens	NULL	NULL	566	unspecified	P49711	ALIGNS033125	PEAKS033149	GSE19622	GSM489291;GSM489292;GSM489290	NULL
EXP000777	CTCF	Homo sapiens	NULL	NULL	566	unspecified	P49711	ALIGNS033126	PEAKS033150	GSE19622	GSM489293;GSM489294	NULL
EXP000581	sc-13030X	Homo sapiens	NULL	NULL	423	unspecified	P28324	ALIGNS033127	PEAKS033151	GSE24685	GSM608161;GSM608162	NULL
EXP000580	rabbit anti TR4 (JD Engel lab)	Homo sapiens	NULL	NULL	423	unspecified	P49116	ALIGNS033128	PEAKS033152	GSE24685	GSM608160;GSM608159	NULL
EXP000583	RUNX1	Homo sapiens		EXP000582	183	unspecified	Q01196	ALIGNS034295	PEAKS033153	GSE24777	GSM610330	NULL
EXP000585	RUNX1	Homo sapiens		EXP000584	514	unspecified	Q01196	ALIGNS033129	PEAKS033154	GSE24777	GSM610332	NULL
EXP000587	RUNX1	Homo sapiens	Treatment: 24 hours following induction with TPA	EXP000586	514	unspecified	Q01196	ALIGNS033131	PEAKS033155	GSE24777	GSM610334	NULL
EXP000589	FOS	Homo sapiens	Treatment: 24 hours following induction with TPA	EXP000586	514	unspecified	P01100	ALIGNS033132	PEAKS033156	GSE24777	GSM610336	NULL
EXP000588	GATA1	Homo sapiens	Treatment: 24 hours following induction with TPA	EXP000586	514	unspecified	P15976	ALIGNS033133	PEAKS033157	GSE24777	GSM610335	NULL
EXP000747	RAR	Homo sapiens		NULL	851	unspecified	P10276	ALIGNS034297	PEAKS033158	GSE18886	GSM468211	NULL
EXP000746	RXR	Homo sapiens		NULL	69	unspecified	P19793	ALIGNS034298	PEAKS033159	GSE18886	GSM468204	NULL
EXP000745	RAR	Homo sapiens	Treatment: 24 hours ATRA	EXP000751	648	unspecified	P10276	ALIGNS034299	PEAKS033160	GSE18886	GSM468200	NULL
EXP000744	RXR	Homo sapiens	Treatment: 24 hours ATRA	EXP000751	648	unspecified	P19793	ALIGNS034300	PEAKS033161	GSE18886	GSM468199	NULL
EXP000743	RXR	Homo sapiens		NULL	69	unspecified	P19793	ALIGNS033135	PEAKS033162	GSE18886	GSM468184	NULL
EXP000742	RAR	Homo sapiens		EXP000751	648	unspecified	P10276	ALIGNS034301	PEAKS033163	GSE18886	GSM468182	NULL
EXP000725	anti-AR	Homo sapiens	Treatment: siRNA against ERG; Genotype: ERG knokdown; Compound: siRNA	NULL	71	normal	P10275	ALIGNS034302	PEAKS033164	GSE14092	GSM353638	NULL
EXP000726	anti-ERG	Homo sapiens	Treatment: siRNA against ERG; Genotype: ERG knokdown; Compound: siRNA	NULL	71	normal	P11308	ALIGNS034303	PEAKS033165	GSE14092	GSM353639	NULL
EXP001025	CTCF	Homo sapiens	NULL	EXP001019	296	unspecified	P49711	ALIGNS033136	PEAKS033166	GSE32692	GSM808765;GSM808764	NULL
EXP001024	cMYC	Homo sapiens	NULL	EXP001018	297	unspecified	P01106	ALIGNS033137	PEAKS033167	GSE32692	GSM808762;GSM808761	NULL
EXP001027	CTCF	Homo sapiens	NULL	EXP001020	391	unspecified	P49711	ALIGNS033138	PEAKS033168	GSE32692	GSM808772;GSM808771	NULL
EXP001026	cMYC	Homo sapiens	NULL	EXP001019	296	unspecified	P01106	ALIGNS033139	PEAKS033169	GSE32692	GSM808767;GSM808766	NULL
EXP001021	CTCF	Homo sapiens	NULL	EXP001017	113	unspecified	P49711	ALIGNS033140	PEAKS033170	GSE32692	GSM808753;GSM808752	NULL
EXP001023	CTCF	Homo sapiens	NULL	EXP001018	297	unspecified	P49711	ALIGNS033141	PEAKS033171	GSE32692	GSM808759;GSM808760	NULL
EXP001022	cMYC	Homo sapiens	NULL	EXP001017	113	unspecified	P01106	ALIGNS033142	PEAKS033172	GSE32692	GSM808755;GSM808754	NULL
EXP000510	DO1 against p53	Homo sapiens	NULL	EXP000507	783	unspecified	P04637	ALIGNS033143	PEAKS033173	GSE15780	GSM501691;GSM501692	NULL
EXP000516	stat6	Homo sapiens	Treatment: Act+IL-4 for 1hr	NULL	881	unspecified	P42226	ALIGNS034305	PEAKS033174	GSE17850	GSM445805	NULL
EXP001028	cMYC	Homo sapiens	NULL	EXP001020	391	unspecified	P01106	ALIGNS033144	PEAKS033175	GSE32692	GSM808774;GSM808773	NULL
EXP000514	stat6	Homo sapiens	NULL	NULL	881	unspecified	P42226	ALIGNS034306	PEAKS033176	GSE17850	GSM445803	NULL
EXP000515	stat6	Homo sapiens	Treatment: Act for 1hr	NULL	881	unspecified	P42226	ALIGNS034307	PEAKS033177	GSE17850	GSM445804	NULL
EXP000242	VDR	Homo sapiens	Treatment: 1α,25(OH)2D3	EXP000240	2334	unspecified	P11473	ALIGNS033145	PEAKS033178	GSE27437	GSM678269	NULL
EXP000241	VDR	Homo sapiens		EXP000240	2334	unspecified	P11473	ALIGNS033146	PEAKS033179	GSE27437	GSM678268	NULL
EXP000965	R&D Systems AF4248	Homo sapiens	NULL	EXP000966	396	unspecified	O75593	ALIGNS033147	PEAKS033180	GSE29422	GSM727564	NULL
EXP000380	NFYB (Diagenode pAb-007-100, Lot TF-0010)	Homo sapiens	NULL	EXP000377	514	unspecified	P25208	ALIGNS034309	PEAKS033181	GSE26439	GSM648588	NULL
EXP000224	anti-GABP-alpha (sc-22810)	Homo sapiens	NULL	EXP000225	165	unspecified	Q06546	ALIGNS034310	PEAKS033182	GSE24933	GSM612960	NULL
EXP000226	anti-TAL1 Ab (Santa Cruz sc-12984)	Homo sapiens	NULL	EXP000228	509	unspecified	P17542	ALIGNS033150	PEAKS033183	GSE25000	GSM614003	NULL
EXP000227	anti-TAL1 Ab (Santa Cruz sc-12984)	Homo sapiens	NULL	NULL	743	unspecified	P17542	ALIGNS033151	PEAKS033184	GSE25000	GSM614004	NULL
EXP000220	anti-ETV1 (Abcam Ab81086, lot#787879)	Homo sapiens	NULL	EXP000219	331	unspecified	P50549	ALIGNS034311	PEAKS033185	GSE22441	GSM558678	NULL
EXP000347	sc-1008	Homo sapiens	Treatment: calcitriol	EXP000343	341	unspecified	P11473	ALIGNS033152	PEAKS033186	GSE22484	GSM558637;GSM558636	NULL
EXP000958	TCF7L2	Homo sapiens	Treatment: bio	EXP000959	514	unspecified	Q9NQB0	ALIGNS033153	PEAKS033187	GSE29195	GSM722418;GSM722419	NULL
EXP000250	HIF-2 alpha	Homo sapiens	NULL	EXP000251	113	unspecified	Q99814	ALIGNS037905	PEAKS036856	GSE28352	GSM700945	NULL
EXP000252	HIF-1 beta	Homo sapiens	NULL	EXP000253	113	unspecified	P27540	ALIGNS037907	PEAKS036857	GSE28352	GSM700947	NULL
EXP000952	CEBP	Homo sapiens	Treatment: bmp	EXP000954	514	unspecified	P49715	ALIGNS034314	PEAKS033188	GSE29195	GSM788364	NULL
EXP000953	SMAD1	Homo sapiens	Treatment: bmp	EXP000954	514	unspecified	Q15797	ALIGNS034315	PEAKS033189	GSE29195	GSM788365	NULL
EXP000956	GATA2	Homo sapiens	NULL	EXP000959	514	unspecified	P23769	ALIGNS034318	PEAKS033190	GSE29195	GSM788368	NULL
EXP000222	Sox2 antibody (Abcam cat#ab59776)	Homo sapiens	NULL	EXP000223	552	unspecified	P48431	ALIGNS033154	PEAKS033191	GSE23795	GSM586971	NULL
EXP000659	mouse anti-HA (Covance, catalog # MMS-101P)	Homo sapiens	NULL	EXP000662	113	unspecified	Q01094	ALIGNS034319	PEAKS033192	GSE28286	GSM699988	NULL
EXP000556	sc-8977 (H-77)	Homo sapiens	Treatment: estradiol	NULL	113	unspecified	Q92754	ALIGNS034320	PEAKS033193	GSE23852	GSM588928	NULL
EXP000557	ab5089	Homo sapiens	Treatment: ethanol	NULL	113	unspecified	P55317	ALIGNS034321	PEAKS033194	GSE23852	GSM588929	NULL
EXP000555	sc-8977 (H-77)	Homo sapiens	Treatment: ethanol	NULL	113	unspecified	Q92754	ALIGNS034322	PEAKS033195	GSE23852	GSM588927	NULL
EXP000552	07-729  (Millipore)	Homo sapiens	NULL	EXP000554	402	unspecified	P49711	ALIGNS033156	PEAKS033196	GSE23784	GSM586888	NULL
EXP000551	ab70303	Homo sapiens	NULL	EXP000554	402	unspecified	P49711	ALIGNS034323	PEAKS033197	GSE23784	GSM586887	NULL
EXP000415	SRC1	Homo sapiens	Treatment: tamoxifen	EXP000416	563	unspecified	Q15788	ALIGNS033157	PEAKS033198	GSE28987	GSM717979	NULL
EXP000414	sc-8995	Homo sapiens		EXP000416	563	unspecified	Q15788	ALIGNS033158	PEAKS033199	GSE28987	GSM717978	NULL
EXP000005	anti-GFP(ab290-050) GATAD1 tagged	Homo sapiens	NULL	EXP000004	422	unspecified	Q8WUU5	ALIGNS033161	PEAKS033200	GSE20303	GSM566155;GSM566161	NULL
EXP000002	Oct1	Homo sapiens	Treatment: H2O2 1hr	EXP000001	78	unspecified	P14859	ALIGNS033162	PEAKS033201	GSE14283	GSM357351	NULL
EXP000907	sc-7196X	Homo sapiens	NULL	EXP000901	792	unspecified	P37231	ALIGNS033164	PEAKS033202	GSE25836	GSM634629;GSM634630	NULL
EXP000929	GATA2	Homo sapiens	NULL	EXP000930	459	unspecified	P23769	ALIGNS034327	PEAKS033203	GSE29194	GSM722396	NULL
