id	title	cellosaurus_id	species	cell_ontology_id	exp_factor_ontology_id	uberon_id	source	source_id	cell_type_id	brenda_id	other_id
78	HeLa (cervical adenocarcinoma)	CVCL_0030	Homo sapiens		EFO:0001185		cell line	CL:0000010	CVCL_0030	BTO:0000567	NULL
79	BCBL-1 (B-cell lymphoma)	CVCL_0165	Homo sapiens		EFO:0002048		cell line	CL:0000010	CVCL_0165	BTO:0002727	NULL
80	B lymphoblastic leukemia		Mus musculus		EFO:0000094		cancer	EFO:0000311	EFO:0000094		NULL
81	BMDM (bone marrow-derived macrophages)		Mus musculus	CL:0002476			bone marrow	UBERON:0002371	CL:0000235	BTO:0004732	NULL
82	SK-N-BE(2)-C (neuroblastoma)	CVCL_0529	Homo sapiens	CLO:0009052			cell line	CL:0000010	CVCL_0529	BTO:0002696	NULL
87	BEAS-2B (bronchial epithelium)	CVCL_0168	Homo sapiens	CLO:0001925	EFO:0001089		cell line	CL:0000010	CVCL_0168		NULL
88	Beta-TC-6 (insulinoma)	CVCL_0605	Mus musculus				cell line	CL:0000010	CVCL_0605		NULL
89	BGO3 (embryonic stem cells)		Homo sapiens				cell line	CL:0000010			NULL
90	BicR (prostate cancer)		Homo sapiens				cell line	CL:0000010			NULL
91	RAW 264.7 (Abelson murine leukemia virus-induced tumor-derived macrophages)	CVCL_0493	Mus musculus	CLO:0008753			cell line	CL:0000010	CVCL_0493	BTO:0003292	NULL
92	BJAB (Burkitt lymphoma)	CVCL_5711	Homo sapiens		EFO:0002815		cell line	CL:0000010	CVCL_5711	BTO:0001931	NULL
93	BJ (fibroblasts)	CVCL_3653	Homo sapiens	CLO:0001980	EFO:0002779		cell line	CL:0000010	CVCL_3653		NULL
94	BL41(Burkitt lymphoma)	CVCL_1087	Homo sapiens				cell line	CL:0000010	CVCL_1087		NULL
95	E12.5 embryonic heart		Mus musculus				embryonic cell	CL:0002321	UBERON:0000948		NULL
96	trophoblast stem cells		Mus musculus				stem cell	CL:0000034	CL:0000351	BTO:0004774	NULL
97	blood lymphocytes		Homo sapiens				blood	UBERON:0000178	CL:0000542	BTO:0000775	NULL
98	blood monocytes		Homo sapiens				blood	UBERON:0000178	CL:0000576		NULL
99	blood monocytes/macrophages		Homo sapiens				blood	UBERON:0000178	CL:0000576;CL:0000235		NULL
100	Blue1 (sporadic Burkitt lymphoma)	CVCL_1967	Homo sapiens				cell line	CL:0000010	CVCL_1967		NULL
102	BMiFLT3(15-3) (murine acute lymphoblastic leukemia)		Mus musculus				cell line	CL:0000010			NULL
103	bone marrow		Mus musculus			UBERON:0002371	bone marrow	UBERON:0002371		BTO:0000141	NULL
104	dendritic cells		Mus musculus				immune system	UBERON:0002405	CL:0000451		NULL
105	pro-B cells		Mus musculus	CL:0000826			immune system	UBERON:0002405	CL:0000826		NULL
106	BPE (mammary epithelial cells)		Homo sapiens	CLO:0002021			cell line	CL:0000010			NULL
107	BPLER (mammary epithelial cells)		Homo sapiens				cell line	CL:0000010			NULL
108	brain caudate putamen		Mus musculus			UBERON:0005383	brain	UBERON:0000955	UBERON:0005383	BTO:0000212	NULL
109	glioma		Mus musculus		EFO:0005543		brain	UBERON:0000955	BTO:0000526		NULL
110	brain (ventral tegmental area)		Mus musculus			UBERON:0000955	brain	UBERON:0000955	UBERON:0002691	BTO:0000142	NULL
111	T47D (invasive ductal carcinoma)	CVCL_0553	Homo sapiens	CLO:0009251	EFO:0001247		cell line	CL:0000010	CVCL_0553	BTO:0001248	NULL
112	breast ductal carcinoma		Homo sapiens				cancer	EFO:0000311	BTO:0000150	BTO:0002844	NULL
113	MCF7 (Invasive ductal breast carcinoma)	CVCL_0031	Homo sapiens	CLO:0007606	EFO:0001203		cell line	CL:0000010	CVCL_0031	BTO:0000093	NULL
114	bronchial epithelial cells		Homo sapiens	CL:0002328			lung	UBERON:0002048	CL:0002328	BTO:0002922	NULL
115	brown adipose tissue		Mus musculus			UBERON:0001348	adipose tissue	UBERON:0001013	UBERON:0001348	BTO:0000156	NULL
116	brown adipocytes		Mus musculus				adipose tissue	UBERON:0001013	CL:0000449		NULL
117	Bruce4 (embryonic stem cells)	CVCL_K037	Mus musculus		EFO:0005483		cell line	CL:0000010	CVCL_K037		NULL
118	BT-20 (breast invasive ductal carcinoma)	CVCL_0178	Homo sapiens				cell line	CL:0000010	CVCL_0178	BTO:0001466	NULL
119	BT-474 (breast invasive ductal carcinoma)	CVCL_0179	Homo sapiens	CLO:0002042			cell line	CL:0000010	CVCL_0179	BTO:0001932	NULL
120	BT-549 (breast invasive ductal carcinoma)	CVCL_1092	Homo sapiens	CLO:0002044			cell line	CL:0000010	CVCL_1092	BTO:0002548	NULL
121	Mutu-3 (Burkitt lymphoma)	CVCL_7203	Homo sapiens				cell line	CL:0000010	CVCL_7203		NULL
122	burst-forming unit erythroid		Mus musculus				hematopoietic system	UBERON:0002390	CL:0000764		NULL
123	BV-2 (brain microglial cells)	CVCL_0182	Mus musculus				cell line	CL:0000010	CVCL_0182	BTO:0003350	NULL
124	C17.2a (neural progenitors)	CVCL_4511	Mus musculus				cell line	CL:0000010	CVCL_4511		NULL
2794	SNEL4 iPSC		Mus musculus	CLO:0037307	EFO:0005740		cell line	CL:0000010	CLO:0037307		NULL
126	C2C12 (myotubes)	CVCL_0188	Mus musculus		EFO:0001098		cell line	CL:0000010	CVCL_0188	BTO:0000165	NULL
127	C3H10T1/2 (embryonic fibroblasts)	CVCL_0190	Mus musculus		EFO:0002816		cell line	CL:0000010	CVCL_0190	BTO:0004058	NULL
128	MCF-7 C4-12 (invasive breast ductal carcinoma)	CVCL_GX99	Homo sapiens				cell line	CL:0000010	CVCL_GX99		NULL
129	LNCaP C4-2B (prostate carcinoma)	CVCL_4784	Homo sapiens		EFO:0006365		cell line	CL:0000010	CVCL_4784	BTO:0004959	NULL
130	LNCaP C4-2 (prostate carcinoma)	CVCL_4782	Homo sapiens				cell line	CL:0000010	CVCL_4782	BTO:0005672	NULL
131	E10.5 embryonic optic cups		Mus musculus				embryonic cell	CL:0002321	UBERON:0003072		NULL
132	uterus		Mus musculus			UBERON:0000995	uterus	UBERON:0000995		BTO:0001424	NULL
133	corneal epithelium		Mus musculus				eye	UBERON:0000970	UBERON:0001772		NULL
134	embryo trunk (day 11.5)		Mus musculus				embryonic cell	CL:0002321			NULL
135	embryonic brain		Mus musculus			UBERON:6001060	embryonic cell	CL:0002321	UBERON:0000955	BTO:0004726	NULL
136	white adipose tissue		Mus musculus			UBERON:0001347	adipose tissue	UBERON:0001013	UBERON:0001347	BTO:0001456	NULL
137	hindbrain		Mus musculus			UBERON:0002028	brain	UBERON:0000955	UBERON:0002028	BTO:0000672	NULL
138	neural progenitors		Mus musculus				stem cell	CL:0000034			NULL
139	thymus		Mus musculus			UBERON:0002370	thymus	UBERON:0002370		BTO:0001374	NULL
140	CD4- CD8- T cells		Mus musculus	CL:0002489			immune system	UBERON:0002405	CL:0002489		NULL
141	retina		Mus musculus			UBERON:0000966	eye	UBERON:0000970	UBERON:0000966	BTO:0001175	NULL
142	intestine		Mus musculus			UBERON:0000160	intestine	UBERON:0000160		BTO:0000648	NULL
143	brain		Mus musculus			UBERON:0000955	brain	UBERON:0000955		BTO:0000142	NULL
144	CA-46 (Burkitt lymphoma)	CVCL_1101	Homo sapiens				cell line	CL:0000010	CVCL_1101	BTO:0000789	NULL
145	Caco-2 (colon adenocarcinoma)	CVCL_0025	Homo sapiens		EFO:0001099		cell line	CL:0000010	CVCL_0025	BTO:0000195	NULL
146	Caki-1 (renal carcinoma)	CVCL_0234	Homo sapiens	CLO:0002176	EFO:0002149		cell line	CL:0000010	CVCL_0234	BTO:0003204	NULL
147	CAL-1 (plasmacytoid dendritic neoplasm)	CVCL_5G46	Homo sapiens				cell line	CL:0000010	CVCL_5G46		NULL
148	Calu-3 (lung adenocarcinoma)	CVCL_0609	Homo sapiens	CLO:0002192			cell line	CL:0000010	CVCL_0609	BTO:0002750	NULL
149	osteoblasts		Homo sapiens	CL:0000062			bone	UBERON:0002481	CL:0000062		NULL
150	caput epididymis		Mus musculus			UBERON:0004358	epididymis	UBERON:0001301	UBERON:0004358	BTO:0000336	NULL
151	CCE (embryonic stem cells)	CVCL_C313	Mus musculus				cell line	CL:0000010	CVCL_C313	BTO:0003560	NULL
152	CC-LP-1 (intrahepatic cholangiocarcinoma)	CVCL_0205	Homo sapiens				cell line	CL:0000010	CVCL_0205		NULL
153	CCRF-CEM (T acute lymphoblastic leukemia)	CVCL_0207	Homo sapiens	CLO:0002334			cell line	CL:0000010	CVCL_0207	BTO:0000736	NULL
154	CD133+ umbilical cord blood cells		Homo sapiens			UBERON:0012168	umbilical cord blood	UBERON:0012168	UBERON:0012168	BTO:0004054	NULL
155	CD133(-) tumor inititating stem cells		Mus musculus				stem cell	CL:0000034			NULL
156	CD133(+) tumor inititating stem cells		Mus musculus				stem cell	CL:0000034			NULL
157	CD14+ monocytes		Homo sapiens	CL:0001054			immune system	UBERON:0002405	CL:0001054		NULL
158	basal ganglia		Mus musculus			UBERON:0010011	brain	UBERON:0000955	UBERON:0002420		NULL
159	cortical neurons		Mus musculus				brain	UBERON:0000955	CL:0000540		NULL
160	hair follicle stem cells		Mus musculus				stem cell	CL:0000034	CL:0000441	BTO:0004905	NULL
161	neurosphere cells		Mus musculus				stem cell	CL:0000034			NULL
162	olfactory bulb		Mus musculus			UBERON:0002264	brain	UBERON:0000955	UBERON:0002264	BTO:0000961	NULL
163	embryo cerebral cortex (day 15)		Mus musculus			UBERON:0000956	embryonic cell	CL:0002321	UBERON:0000956	BTO:0000233	NULL
164	CD20+ B-cells		Homo sapiens				immune system	UBERON:0002405	CL:0000236		NULL
165	CD34+CD133+ hematopoietic progenitors		Homo sapiens				stem cell	CL:0000034	CL:0008001		NULL
166	CD34+ hematopoietic stem cells		Homo sapiens				stem cell	CL:0000034	CL:0000037		NULL
167	CD34+ hematopoietic stem cells-derived proerythroblasts		Homo sapiens				stem cell	CL:0000034	CL:0000547		NULL
168	CD36+ erythroid cells		Homo sapiens				stem cell	CL:0000034	CL:0000764		NULL
169	CD4+ CD25+ CD45RA+ T-cells		Homo sapiens				immune system	UBERON:0002405	CL:0000084		NULL
170	CD4+ CD25- T-cells		Homo sapiens				immune system	UBERON:0002405	CL:0000084		NULL
171	CD4+ CD8+ T cells		Mus musculus				immune system	UBERON:0002405	CL:0000809		NULL
173	preantral follicles		Mus musculus				ovary	UBERON:0000992	UBERON:0000036		NULL
174	cerebral cortex		Mus musculus			UBERON:0000956	brain	UBERON:0000955	UBERON:0000956	BTO:0000233	NULL
175	cervical carcinoma		Homo sapiens		EFO:0001061		uterus	UBERON:0000995	BTO:0000180	BTO:0000180	NULL
176	CGR8 (embryonic stem cells)	CVCL_3987	Mus musculus	CLO:0002405	EFO:0006273		cell line	CL:0000010	CVCL_3987	BTO:0004308	NULL
177	embryonic stem cell-derived endodermal cells		Mus musculus				stem cell	CL:0000034	CL:0000223		NULL
178	CH12 (lymphoma)	CVCL_6818	Mus musculus				cell line	CL:0000010	CVCL_6818		NULL
179	chondrocytes		Mus musculus				skeletal system	UBERON:0001434	CL:0000138		NULL
180	motor neurons		Mus musculus				nervous system	UBERON:0001016	CL:0000100		NULL
181	induced neural stem cell-like cells		Mus musculus				nervous system	UBERON:0001016			NULL
182	CJ7 (embryonic stem cells)	CVCL_C316	Mus musculus		EFO:0005916		cell line	CL:0000010	CVCL_C316	BTO:0004413	NULL
183	CMK (acute megakaryoblastic leukemia)	CVCL_0216	Homo sapiens	CLO:0002526	EFO:0003037		cell line	CL:0000010	CVCL_0216	BTO:0000978	NULL
184	CMTi-1 (embryonic stem cells)	CVCL_GS41	Mus musculus				cell line	CL:0000010	CVCL_GS41		NULL
185	COLO-320 (colon adenocarcinoma)	CVCL_1989	Homo sapiens	CLO:0002571			cell line	CL:0000010	CVCL_1989	BTO:0002047	NULL
2790	partially reprogrammed colony 23		Mus musculus				cell line	CL:0000010			NULL
187	colon epithelium		Mus musculus	CL:0011108		UBERON:0000397	colon	UBERON:0001155	UBERON:0000397	BTO:0004297	NULL
188	LS174T (colon adenocarcinoma)	CVCL_1384	Homo sapiens		EFO:0002227		cell line	CL:0000010	CVCL_1384	BTO:0001553	NULL
189	common dendritic cell progenitors		Mus musculus				immune system	UBERON:0002405	CL:0001029		NULL
190	myeloid cells		Mus musculus				immune system	UBERON:0002405	CL:0000763		NULL
191	corneal epithelium		Homo sapiens				eye	UBERON:0000970	UBERON:0001772		NULL
192	HCASMC (Human coronary artery smooth muscle cells)		Homo sapiens				vascular system	UBERON:0007798	CL:0002592	BTO:0002985	NULL
193	cortex		Mus musculus			UBERON:0001851	other		UBERON:0001851		NULL
194	cranial neural crest cells		Homo sapiens			UBERON:0003099	embryonic cell	CL:0002321	UBERON:0003099		NULL
195	crypt cells		Mus musculus				colon	UBERON:0001155	BTO:0000305	BTO:0000305	NULL
196	jejunal crypt intestinal epithelial cells		Mus musculus			UBERON:0013483	intestine	UBERON:0000160	UBERON:0013483		NULL
197	adipocytes		Mus musculus	CL:0000136			adipose tissue	UBERON:0001013	CL:0000136		NULL
198	pre-pro-B-cells		Mus musculus				immune system	UBERON:0002405	CL:0002048		NULL
199	CUTLL1 (T-cell lymphoblastic lymphoma 1)	CVCL_4966	Homo sapiens				cell line	CL:0000010	CVCL_4966		NULL
200	CWR22 (prostate carcinoma)	CVCL_3967	Homo sapiens				cell line	CL:0000010	CVCL_3967	BTO:0004594	NULL
201	CyT49 (embryonic stem cells)	CVCL_B850	Homo sapiens		EFO:0007073		cell line	CL:0000010	CVCL_B850		NULL
202	CyT49-derived endodermal cells		Homo sapiens				cell line	CL:0000010	CL:0000223		NULL
203	Flk1+ hemangioblasts		Mus musculus				embryonic cell	CL:0002321	CL:0002418		NULL
204	D3 (embryonic stem cells)	CVCL_4378	Mus musculus	CLO:0002675	EFO:0005910		cell line	CL:0000010	CVCL_4378		NULL
205	DAOY (medulloblastoma)	CVCL_1167	Homo sapiens	CLO:0002699	EFO:0005698		cell line	CL:0000010	CVCL_1167	BTO:0004328	NULL
206	epiblast-like cells		Mus musculus				hematopoietic system	UBERON:0002390	CL:0000352		NULL
2789	small intestinal adenoma		Mus musculus				intestine	UBERON:0000160	BTO:0003384		NULL
208	embryoid body (day 6)		Mus musculus			UBERON:0014374	embryonic cell	CL:0002321		BTO:0001718	NULL
209	DB (diffuse large B-cell lymphoma)	CVCL_1168	Homo sapiens	CLO:0002709	EFO:0002158		cell line	CL:0000010	CVCL_1168		NULL
210	decapsulated testis		Mus musculus				testis	UBERON:0000473			NULL
211	Delta47 (plasma cell myeloma)	CVCL_2887	Homo sapiens				cell line	CL:0000010	CVCL_2887		NULL
212	dermal fibroblasts		Mus musculus				skin	UBERON:0002199	CL:0000057	BTO:0004419	NULL
213	mesenchymal stem cells		Mus musculus				stem cell	CL:0000034	CL:0000134		NULL
214	embryoid body (day 4)		Mus musculus			UBERON:0014374	embryonic cell	CL:0002321		BTO:0001718	NULL
215	keratinocytes		Homo sapiens	CL:0000312			skin	UBERON:0002199	CL:0000312		NULL
216	differentiated embryonic stem cells		Mus musculus	CL:0002322			stem cell	CL:0000034	CL:0002322		NULL
217	hematopoietic cells		Mus musculus				stem cell	CL:0000034	CL:0000988		NULL
218	oligodendrocytes		Rattus norvegicus				nervous system	UBERON:0001016	CL:0000128		NULL
219	DLD-1 (colon adenocarcinoma)	CVCL_0248	Homo sapiens	CLO:0002785	EFO:0006389		cell line	CL:0000010	CVCL_0248	BTO:0000391	NULL
220	DND41 (acute lymphoblastic leukemia)	CVCL_2022	Homo sapiens		EFO:0007074		cell line	CL:0000010	CVCL_2022		NULL
221	DOHH2 (diffuse large B-cell lymphoma)	CVCL_1179	Homo sapiens	CLO:0002805	EFO:0002167		cell line	CL:0000010	CVCL_1179		NULL
222	A2lox (embryonic stem cells)		Mus musculus				cell line	CL:0000010			NULL
223	DU145 (prostate carcinoma)	CVCL_0105	Homo sapiens		EFO:0005441		cell line	CL:0000010	CVCL_0105	BTO:0001332	NULL
224	DUCaP (prostate carcinoma)	CVCL_2025	Homo sapiens				cell line	CL:0000010	CVCL_2025		NULL
225	duodenum and jejunum		Mus musculus				intestine	UBERON:0000160	UBERON:0002114;UBERON:0002115		NULL
226	E10.5 embryonic limb bud cells		Mus musculus				embryonic cell	CL:0002321	UBERON:0004347		NULL
227	E12.5 embryonic endocardial cushion cells		Mus musculus				embryonic cell	CL:0002321	UBERON:0002062		NULL
228	E14.5 embryonic cerebral cortices		Mus musculus				embryonic cell	CL:0002321	UBERON:0000956	BTO:0004014	NULL
229	E14.5 brain-derived neural progenitor cells		Mus musculus				embryonic cell	CL:0002321			NULL
230	ES-E14 (E14, embryonic stem cells)	CVCL_C320	Mus musculus		EFO:0007075		cell line	CL:0000010	CVCL_C320	BTO:0005136	NULL
231	E14-derived embryonic cardiac progenitor cells		Mus musculus				embryonic cell	CL:0002321			NULL
232	E14-derived embryonic neural progenitor cells		Mus musculus				embryonic cell	CL:0002321			NULL
233	E14TG2A (embryonic stem cells)	CVCL_9108	Mus musculus	CLO:0002952	EFO:0007751		cell line	CL:0000010	CVCL_9108		NULL
234	E15.5 embryonic kidney		Mus musculus				embryonic cell	CL:0002321	UBERON:0002113		NULL
235	E17.5 embryonic nasal chondrocytes		Mus musculus				embryonic cell	CL:0002321			NULL
236	embryonic stem cell-derived haematopoietic cells		Mus musculus	CL:0000988			stem cell	CL:0000034	CL:0000988		NULL
237	embryoid body		Mus musculus			UBERON:0014374	embryonic cell	CL:0002321		BTO:0001718	NULL
239	ECC-1 (endometrial adenocarcinoma)	CVCL_7260	Homo sapiens	CLO:0037231	EFO:0005231		cell line	CL:0000010	CVCL_7260	BTO:0005365	NULL
240	Edom-iPS-2 (induced pluripotent stem cells)	CVCL_L432	Homo sapiens				cell line	CL:0000010	CVCL_L432		NULL
241	EGFP-TS3.5 TS (trophoblast stem cells)		Mus musculus				cell line	CL:0000010			NULL
242	EKOiE (embryonic stem cells)		Mus musculus				cell line	CL:0000010			NULL
243	EL4 (lymphoma)	CVCL_0255	Mus musculus	CLO:0002913			cell line	CL:0000010	CVCL_0255		NULL
244	NT2-D1 (embryonic carcinoma)	CVCL_3407	Homo sapiens	CLO:0008207	EFO:0005236		cell line	CL:0000010	CVCL_3407	BTO:0000946	NULL
245	NCCIT (testicular embryonic carcinoma)	CVCL_1451	Homo sapiens	CLO:0007955			cell line	CL:0000010	CVCL_1451	BTO:0004180	NULL
246	E12.5 embryonic vertebral column		Mus musculus				embryonic cell	CL:0002321	UBERON:0001130		NULL
247	embryonic heart		Mus musculus				embryonic cell	CL:0002321	UBERON:0000948		NULL
